product_id,category,brand,description,price
1,beauty,Essence,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,9.99
2,beauty,Glamour Beauty,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",19.99
3,beauty,Velvet Touch,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",14.99
4,beauty,Chic Cosmetics,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",12.99
5,beauty,Nail Couture,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",8.99
6,fragrances,Calvin Klein,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",49.99
7,fragrances,Chanel,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",129.99
8,fragrances,Dior,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",89.99
9,fragrances,Dolce & Gabbana,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",69.99
10,fragrances,Gucci,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",79.99
11,furniture,Annibale Colombo,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",1899.99
12,furniture,Annibale Colombo,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",2499.99
13,furniture,Furniture Co.,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",299.99
14,furniture,Knoll,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",499.99
15,furniture,Bath Trends,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",799.99
16,groceries,,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",1.99
17,groceries,,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",12.99
18,groceries,,Nutritious cat food formulated to meet the dietary needs of your feline friend.,8.99
19,groceries,,"Fresh and tender chicken meat, suitable for various culinary preparations.",9.99
20,groceries,,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",4.99
21,groceries,,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",1.49
22,groceries,,Specially formulated dog food designed to provide essential nutrients for your canine companion.,10.99
23,groceries,,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",2.99
24,groceries,,"Quality fish steak, suitable for grilling, baking, or pan-searing.",14.99
25,groceries,,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",1.29
26,groceries,,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",0.99
27,groceries,,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",6.99
28,groceries,,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",5.49
29,groceries,,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",3.99
30,groceries,,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",2.49
